CUSTOMER_ID,AVERAGE_SPENDING
181392,41.54
46069,39.51
57385,41.82
122650,41.12
45856,37.98
140101,41.53
190676,31.53
80414,33.22
154659,31.46
151896,42.81
49668,37.23
105118,33.06
33612,43.95
105161,43.70
77159,36.66
82510,38.71
150591,39.88
24502,36.18
182447,33.48
131706,34.54
66080,36.04
155674,37.06
117222,43.69
192545,35.38
162072,41.43
135367,36.29
103538,38.16
144658,32.62
50102,33.41
171402,35.89
107406,36.58
42324,34.65
53577,30.85
93836,42.93
92088,36.88
108389,33.69
174655,31.10
114301,43.22
169581,39.63
108599,30.71
113898,46.40
173128,34.98
187707,33.80
178184,39.70
89490,35.74
59383,45.95
87975,44.43
187232,35.15
56553,32.87
53294,46.11
188936,37.97
179715,49.24
119002,44.25
65354,45.35
40233,39.50
154226,43.92
179093,33.94
43357,42.21
35076,32.06
83727,42.60
139776,39.56
119254,35.27
35584,45.44
3730,36.51
44002,33.92
191624,40.73
105320,36.89
111522,43.06
17754,35.48
175795,36.99
89232,44.13
76311,33.42
59644,36.53
109254,37.74
74257,35.48
95161,40.26
140007,42.11
151407,45.57
90621,38.49
129087,38.38
75398,41.14
63132,31.84
176706,40.46
39243,36.57
69696,36.59
87781,39.03
183821,33.57
22760,36.50
111169,41.70
142217,31.65
101197,45.36
46507,28.20
91925,38.15
97790,41.78
127771,37.78
93902,40.61
64815,40.75
30397,38.85
180481,39.48
9647,40.28
134746,38.99
168181,42.44
89239,37.52
170202,42.40
68742,44.94
146930,36.25
169835,41.39
199602,38.92
112471,37.32
139632,44.42
169030,36.22
76195,44.01
168405,44.83
132461,35.37
166750,35.79
149717,33.50
26224,40.32
98846,39.96
95571,37.32
129424,39.09
10014,33.00
69678,40.37
150716,38.74
62198,44.09
195819,36.04
108903,44.84
60639,39.15
81791,40.87
78684,50.44
57571,38.05
123249,42.15
58643,39.78
27328,40.29
196590,48.00
157435,42.16
134207,43.22
123119,40.45
187153,36.35
190719,41.76
141866,37.82
148167,41.78
64281,42.42
72064,39.58
94416,37.42
179874,44.81
94161,44.13
171019,35.17
122800,34.20
146028,37.74
27642,36.23
94156,43.80
62480,43.26
55255,33.04
190854,31.56
178739,38.22
137761,38.42
119499,43.00
101731,41.75
132686,39.34
186151,42.48
24288,48.56
150552,42.73
182929,39.26
113230,33.63
162190,35.53
117665,37.25
79610,40.06
62383,32.32
39348,38.99
62151,34.67
160546,38.49
117930,39.84
5511,33.15
125957,38.87
27438,35.03
120059,39.28
138092,39.32
7564,32.95
25387,41.12
120867,37.40
120017,39.70
177584,34.71
30253,38.97
18057,40.49
159485,32.98
95838,44.94
73647,42.86
180585,39.90
146959,38.88
196837,44.35
93847,35.69
160263,35.62
110836,31.66
69503,36.81
35409,39.97
53648,39.98
123471,44.21
121114,38.01
72294,33.95
27894,34.66
39402,39.89
