GENDER,MARITAL_STATUS,CITY,HAVE_CHILDREN,AGE_GROUP,CLUSTERS,CHURNED,SALES
Male,Married,San Mateo,Yes,Seniors,0,0,1404.5
Undisclosed,Single,San Mateo,No,Middle-Aged Adults,3,0,1811.5
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1256.5
Male,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,0,1393.25
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,2096.75
Male,Single,San Mateo,No,Adults,1,0,1401.25
Male,Single,San Mateo,No,Seniors,3,1,1581.5
Male,Married,San Mateo,Yes,Seniors,0,1,1094.5
Undisclosed,Married,San Mateo,Yes,Adults,0,0,1893.0
Male,Undisclosed,San Mateo,Undisclosed,Adults,0,0,1191.0
Female,Married,San Mateo,Yes,Adults,2,0,1807.0
Female,Married,San Mateo,Yes,Adults,2,0,1506.5
Undisclosed,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1315.5
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,1822.5
Male,Married,San Mateo,Yes,Adults,0,1,1282.5
Undisclosed,Single,San Mateo,No,Adults,1,1,1302.0
Undisclosed,Married,San Mateo,Yes,Adults,0,0,1698.75
Male,Divorced/Seperated,San Mateo,Yes,Adults,0,1,1364.0
Female,Married,San Mateo,Yes,Adults,2,0,2035.25
Female,Single,San Mateo,No,Adults,1,0,1191.5
Undisclosed,Single,San Mateo,No,Seniors,1,1,1436.5
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1741.25
Female,Married,San Mateo,Yes,Adults,2,1,1017.0
Female,Undisclosed,San Mateo,Undisclosed,Seniors,2,0,1496.5
Male,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,0,1348.5
Undisclosed,Single,San Mateo,No,Adults,1,0,1291.0
Male,Single,San Mateo,No,Adults,1,1,1321.75
Female,Married,San Mateo,Yes,Adults,2,1,1312.5
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1596.5
Undisclosed,Married,San Mateo,Yes,Adults,0,0,1419.0
Male,Married,San Mateo,Yes,Adults,0,1,1624.75
Female,Married,San Mateo,Yes,Seniors,2,0,1499.0
Female,Undisclosed,San Mateo,Undisclosed,Seniors,2,0,1286.5
Male,Married,San Mateo,No,Middle-Aged Adults,2,1,1279.0
Male,Married,San Mateo,Yes,Adults,0,1,1662.25
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,1659.0
Male,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,0,1536.0
Female,Married,San Mateo,Yes,Seniors,2,0,1470.0
Male,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,1706.5
Male,Married,San Mateo,Yes,Adults,0,0,1433.75
Female,Married,San Mateo,Yes,Adults,2,0,1339.25
Undisclosed,Single,San Mateo,No,Adults,1,1,1363.5
Male,Undisclosed,San Mateo,Undisclosed,Adults,0,1,1653.0
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1489.25
Female,Single,San Mateo,No,Seniors,1,1,2115.25
Male,Married,San Mateo,No,Middle-Aged Adults,2,1,1211.0
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1926.25
Male,Single,San Mateo,Yes,Seniors,0,0,1608.25
Male,Single,San Mateo,No,Seniors,3,0,1305.5
Male,Divorced/Seperated,San Mateo,Yes,Adults,0,1,1434.0
Male,Married,San Mateo,Yes,Seniors,0,1,1303.0
Female,Married,San Mateo,Yes,Adults,2,1,1763.75
Male,Married,San Mateo,Yes,Adults,0,0,1427.5
Male,Single,San Mateo,Yes,Middle-Aged Adults,2,1,1442.75
Undisclosed,Divorced/Seperated,San Mateo,Yes,Adults,0,0,1365.75
Undisclosed,Divorced/Seperated,San Mateo,Yes,Seniors,2,0,1309.0
Male,Married,San Mateo,Yes,Adults,0,0,1468.75
Female,Married,San Mateo,Yes,Seniors,2,1,1271.0
Male,Married,San Mateo,No,Adults,0,1,1419.75
Female,Married,San Mateo,Yes,Seniors,2,0,1847.5
Male,Married,San Mateo,Yes,Adults,0,0,1640.75
Male,Undisclosed,San Mateo,Undisclosed,Seniors,0,0,1458.75
Male,Married,San Mateo,No,Seniors,0,0,987.0
Male,Single,San Mateo,No,Adults,1,0,1286.5
Female,Single,San Mateo,No,Seniors,1,0,1487.5
Male,Married,San Mateo,Yes,Adults,0,1,1180.0
Female,Married,San Mateo,No,Seniors,2,0,1925.5
Female,Divorced/Seperated,San Mateo,Yes,Adults,2,1,1646.0
Male,Married,San Mateo,No,Adults,0,0,1518.5
Female,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,0,1853.5
Male,Married,San Mateo,No,Adults,0,0,1218.25
Female,Single,San Mateo,No,Seniors,1,0,1529.0
Undisclosed,Single,San Mateo,Yes,Adults,0,1,1309.0
Female,Single,San Mateo,No,Adults,1,0,1668.25
Male,Married,San Mateo,Yes,Seniors,0,0,1659.5
Male,Single,San Mateo,No,Adults,1,0,1316.25
Female,Single,San Mateo,No,Seniors,1,0,1527.0
Female,Married,San Mateo,Yes,Seniors,2,1,1528.5
Female,Single,San Mateo,No,Adults,1,1,2039.0
Male,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,0,1222.0
Male,Single,San Mateo,No,Seniors,3,0,1048.25
Female,Married,San Mateo,Yes,Seniors,2,0,1472.5
Female,Single,San Mateo,No,Adults,1,1,1166.0
Male,Single,San Mateo,No,Adults,1,0,1449.5
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,1,1192.0
Female,Divorced/Seperated,San Mateo,Yes,Seniors,2,0,1817.0
Male,Married,San Mateo,Yes,Adults,0,1,1280.0
Male,Undisclosed,San Mateo,Undisclosed,Adults,0,1,1407.5
Undisclosed,Married,San Mateo,Yes,Seniors,2,0,926.0
Female,Single,San Mateo,No,Adults,1,1,1634.0
Female,Married,San Mateo,Yes,Adults,2,1,1321.0
Female,Married,San Mateo,No,Seniors,2,0,1633.5
Male,Single,San Mateo,No,Adults,1,1,1366.0
Undisclosed,Married,San Mateo,No,Seniors,2,1,1755.75
Undisclosed,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,0,1646.0
Female,Single,San Mateo,No,Adults,1,1,831.5
Female,Married,San Mateo,No,Adults,1,0,1459.5
Male,Divorced/Seperated,San Mateo,No,Seniors,3,1,1081.5
Male,Married,San Mateo,Yes,Adults,0,0,1008.0
Male,Single,San Mateo,No,Adults,1,0,1379.75
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,1219.0
Male,Undisclosed,San Mateo,Undisclosed,Adults,0,0,1550.0
Male,Married,San Mateo,Yes,Seniors,0,0,975.0
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1618.0
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1248.75
Male,Single,San Mateo,No,Adults,1,0,1819.25
Male,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,0,1625.5
Male,Single,San Mateo,No,Adults,1,0,1739.5
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,1976.5
Female,Single,San Mateo,No,Adults,1,1,1877.0
Female,Single,San Mateo,Yes,Seniors,2,1,1313.5
Female,Married,San Mateo,Yes,Adults,2,1,997.25
Undisclosed,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1229.0
Female,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,1,1344.5
Female,Divorced/Seperated,San Mateo,Yes,Adults,2,0,1361.0
Female,Single,San Mateo,No,Seniors,1,0,1072.0
Female,Single,San Mateo,No,Adults,1,0,1868.75
Female,Single,San Mateo,Yes,Seniors,2,0,1436.5
Female,Married,San Mateo,No,Seniors,2,1,1300.75
Female,Divorced/Seperated,San Mateo,No,Adults,1,0,1475.5
Female,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,1652.25
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,1764.0
Male,Divorced/Seperated,San Mateo,Yes,Seniors,0,1,1676.5
Female,Married,San Mateo,Yes,Adults,2,1,1127.5
Male,Married,San Mateo,Yes,Seniors,0,1,1216.0
Male,Single,San Mateo,No,Seniors,3,0,1291.5
Male,Single,San Mateo,Yes,Middle-Aged Adults,2,1,1216.75
Female,Married,San Mateo,Yes,Adults,2,0,1167.0
Female,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,0,1702.0
Male,Single,San Mateo,No,Adults,1,1,1543.25
Male,Married,San Mateo,Yes,Seniors,0,1,1423.0
Male,Married,San Mateo,Yes,Seniors,0,0,1631.5
Female,Married,San Mateo,Yes,Adults,2,0,1710.5
Female,Undisclosed,San Mateo,Undisclosed,Adults,1,1,1457.5
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,985.5
Male,Married,San Mateo,Yes,Adults,0,0,1467.5
Female,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,0,1545.5
Female,Married,San Mateo,Yes,Seniors,2,1,1388.25
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,1598.75
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1221.5
Female,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,1570.75
Male,Single,San Mateo,No,Adults,1,0,1266.0
Female,Single,San Mateo,No,Middle-Aged Adults,1,0,1453.75
Female,Married,San Mateo,Yes,Adults,2,0,1480.0
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,1233.5
Male,Single,San Mateo,No,Adults,1,0,1520.0
Female,Single,San Mateo,No,Adults,1,0,1489.0
Male,Single,San Mateo,Yes,Adults,0,1,1062.0
Female,Married,San Mateo,Yes,Adults,2,1,1205.0
Male,Married,San Mateo,Yes,Seniors,0,0,1212.25
Undisclosed,Married,San Mateo,No,Middle-Aged Adults,2,0,1235.0
Male,Married,San Mateo,No,Adults,0,1,1083.0
Undisclosed,Married,San Mateo,Yes,Seniors,2,1,1505.0
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,2275.0
Male,Undisclosed,San Mateo,Undisclosed,Adults,0,1,1117.0
Female,Divorced/Seperated,San Mateo,Yes,Seniors,2,1,1653.75
Female,Single,San Mateo,No,Adults,1,0,1444.5
Female,Single,San Mateo,No,Adults,1,0,1963.5
Female,Married,San Mateo,Yes,Adults,2,0,1409.0
Male,Divorced/Seperated,San Mateo,Yes,Seniors,0,1,1288.25
Male,Undisclosed,San Mateo,Undisclosed,Adults,0,0,1258.5
Undisclosed,Single,San Mateo,No,Middle-Aged Adults,3,1,1592.5
Female,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,0,1277.0
Male,Married,San Mateo,Yes,Seniors,0,0,1680.0
Female,Single,San Mateo,No,Middle-Aged Adults,1,1,1179.25
Male,Divorced/Seperated,San Mateo,Yes,Seniors,0,1,1674.0
Male,Single,San Mateo,Yes,Middle-Aged Adults,2,0,1238.0
Male,Single,San Mateo,No,Adults,1,0,1151.5
Female,Single,San Mateo,No,Adults,1,0,983.75
Male,Single,San Mateo,No,Seniors,3,1,1316.0
Female,Single,San Mateo,Yes,Adults,1,0,1264.75
Male,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1075.0
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,1,1456.0
Male,Undisclosed,San Mateo,Undisclosed,Seniors,0,0,1421.0
Male,Single,San Mateo,Yes,Middle-Aged Adults,2,1,1792.5
Female,Married,San Mateo,No,Adults,1,0,1051.5
Male,Single,San Mateo,No,Middle-Aged Adults,3,1,1147.5
Female,Married,San Mateo,No,Adults,1,1,1039.25
Male,Undisclosed,San Mateo,Undisclosed,Middle-Aged Adults,2,1,1609.25
Male,Married,San Mateo,No,Middle-Aged Adults,2,0,956.0
Male,Divorced/Seperated,San Mateo,Yes,Middle-Aged Adults,2,1,1063.0
Male,Divorced/Seperated,San Mateo,Yes,Adults,0,0,1423.75
Male,Single,San Mateo,No,Middle-Aged Adults,3,0,1559.75
Female,Married,San Mateo,No,Middle-Aged Adults,2,0,1479.75
Female,Married,San Mateo,Yes,Middle-Aged Adults,2,0,1140.75
Female,Single,San Mateo,Yes,Adults,1,0,1327.5
