CUSTOMER_ID,RECENCY,FREQUENCY,MONETARY,AVG_DAYS_BETWEEN_PURCHASE,MAX_DAYS_WITHOUT_PURCHASE,MIN_DAYS_WITHOUT_PURCHASE,GENDER,MARITAL_STATUS,CITY,CHILDREN_COUNT,AGE,LENGTH_OF_RELATIONSHIP,NUM_OF_LOCATIONS_VISITED,RELATIVE_PURCHASE_FREQUENCY,RELATIVE_PURCHASE_MONETARY
22,13,44,1439.0,29,173,1,Male,Married,San Mateo,4,73,1253,41,0.035116,1.148443735
42,6,40,1817.5,33,167,1,Undisclosed,Single,San Mateo,0,56,1270,37,0.031496,1.4311023622
59,6,39,1325.5,33,390,1,Male,Married,San Mateo,2,61,1260,36,0.030952,1.051984127
65,19,43,1407.25,29,207,2,Male,Divorced/Seperated,San Mateo,5+,64,1222,41,0.035188,1.1515957447
106,3,49,2147.75,24,158,1,Female,Single,San Mateo,0,55,1133,48,0.043248,1.895631068
118,3,40,1419.25,29,158,1,Male,Single,San Mateo,0,34,1139,36,0.035119,1.2460491659
166,5,44,1596.5,20,119,1,Male,Single,San Mateo,0,78,874,42,0.050343,1.8266590389
176,4,34,1105.5,30,139,1,Male,Married,San Mateo,1,67,997,34,0.034102,1.1088264794
189,2,50,1921.0,26,164,1,Undisclosed,Married,San Mateo,1,38,1279,49,0.039093,1.5019546521
204,8,37,1263.0,27,172,1,Male,Undisclosed,San Mateo,Undisclosed,43,986,36,0.037525,1.2809330629
212,4,42,1843.0,33,309,1,Female,Married,San Mateo,1,31,1343,39,0.031273,1.3723008191
217,2,39,1531.5,37,322,1,Female,Married,San Mateo,4,23,1391,35,0.028037,1.1010064702
219,6,40,1342.5,26,158,1,Undisclosed,Married,San Mateo,2,57,1028,38,0.038911,1.3059338521
222,18,45,1912.5,31,346,1,Female,Single,San Mateo,0,57,1348,41,0.033383,1.418768546
224,16,37,1309.5,29,125,1,Male,Married,San Mateo,1,32,1058,32,0.034972,1.2377126654
226,2,30,1390.0,44,266,1,Undisclosed,Single,San Mateo,0,23,1269,29,0.023641,1.0953506698
233,16,42,1788.0,25,278,1,Undisclosed,Married,San Mateo,4,19,1024,39,0.041016,1.74609375
261,16,34,1418.0,40,434,1,Male,Divorced/Seperated,San Mateo,1,25,1330,33,0.025564,1.0661654135
262,7,45,2116.25,26,214,1,Female,Married,San Mateo,2,27,1136,42,0.039613,1.8628961268
308,33,36,1197.5,32,387,1,Female,Single,San Mateo,0,23,1113,35,0.032345,1.0759209344
332,27,39,1524.5,35,209,1,Undisclosed,Single,San Mateo,0,76,1321,37,0.029523,1.1540499621
343,2,41,1747.25,32,167,1,Female,Married,San Mateo,2,65,1277,39,0.032106,1.3682458888
350,16,40,1034.25,32,364,1,Female,Married,San Mateo,2,30,1263,37,0.031671,0.8188836105
354,0,41,1509.0,29,216,1,Female,Undisclosed,San Mateo,Undisclosed,71,1145,36,0.035808,1.3179039301
360,3,36,1354.5,31,238,2,Male,Divorced/Seperated,San Mateo,3,59,1100,34,0.032727,1.2313636364
405,27,38,1343.0,33,226,1,Undisclosed,Single,San Mateo,0,34,1204,35,0.031561,1.115448505
416,17,37,1355.75,35,159,1,Male,Single,San Mateo,0,23,1264,35,0.029272,1.0725870253
419,0,36,1324.5,32,339,1,Female,Married,San Mateo,2,30,1125,35,0.032,1.1773333333
454,4,40,1621.5,28,217,1,Male,Married,San Mateo,4,56,1100,40,0.036364,1.4740909091
466,2,32,1442.5,41,488,1,Undisclosed,Married,San Mateo,2,16,1266,31,0.025276,1.1394154818
479,5,48,1661.75,28,379,1,Male,Married,San Mateo,4,31,1331,46,0.036063,1.2484973704
485,7,43,1577.0,26,195,1,Female,Married,San Mateo,4,76,1112,42,0.038669,1.4181654676
499,8,33,1330.5,32,210,1,Female,Undisclosed,San Mateo,Undisclosed,82,1013,31,0.032577,1.3134254689
502,6,38,1291.0,34,198,2,Male,Married,San Mateo,0,62,1250,37,0.0304,1.0328
514,5,46,1686.25,29,193,1,Male,Married,San Mateo,2,20,1288,40,0.035714,1.3092003106
528,4,52,1668.0,23,99,1,Female,Single,San Mateo,0,54,1172,47,0.044369,1.4232081911
540,88,36,1620.0,35,266,1,Male,Undisclosed,San Mateo,Undisclosed,54,1214,36,0.029654,1.334431631
590,24,35,1485.0,34,231,1,Female,Married,San Mateo,2,68,1141,33,0.030675,1.3014899211
632,7,46,1718.5,29,115,1,Male,Undisclosed,San Mateo,Undisclosed,54,1284,46,0.035826,1.3383956386
649,4,32,1461.75,36,195,2,Male,Married,San Mateo,1,43,1118,29,0.028623,1.3074686941
700,9,35,1349.25,34,158,1,Female,Married,San Mateo,4,17,1154,34,0.030329,1.1691941075
712,19,35,1471.5,40,411,3,Undisclosed,Single,San Mateo,0,24,1343,34,0.026061,1.0956813105
756,0,38,1674.0,36,268,1,Male,Undisclosed,San Mateo,Undisclosed,41,1321,36,0.028766,1.2672218017
777,23,43,1494.25,30,288,1,Male,Married,San Mateo,1,62,1266,39,0.033965,1.1802922591
794,5,46,2170.25,27,204,1,Female,Single,San Mateo,0,78,1194,43,0.038526,1.8176298157
816,9,34,1234.0,31,106,1,Male,Married,San Mateo,0,58,1020,32,0.033333,1.2098039216
821,25,49,2019.75,26,113,1,Female,Married,San Mateo,2,63,1235,45,0.039676,1.6354251012
828,11,43,1615.25,28,215,2,Male,Single,San Mateo,1,75,1187,42,0.036226,1.3607834878
848,0,43,1342.5,31,238,1,Male,Single,San Mateo,0,67,1282,40,0.033541,1.0471918877
868,12,41,1473.0,32,391,1,Male,Divorced/Seperated,San Mateo,2,33,1292,39,0.031734,1.1400928793
884,11,30,1318.0,33,124,1,Male,Married,San Mateo,4,68,966,28,0.031056,1.364389234
891,36,56,1775.75,22,108,1,Female,Married,San Mateo,2,41,1222,52,0.045827,1.4531505728
911,0,36,1545.0,35,221,1,Male,Married,San Mateo,4,35,1208,33,0.029801,1.2789735099
939,0,44,1559.75,32,157,1,Male,Single,San Mateo,2,47,1357,41,0.032424,1.1494104643
940,7,35,1384.75,33,224,1,Undisclosed,Divorced/Seperated,San Mateo,2,41,1111,30,0.031503,1.24639964
948,7,43,1362.0,28,208,1,Undisclosed,Divorced/Seperated,San Mateo,3,70,1195,41,0.035983,1.139748954
950,52,40,1485.75,32,268,1,Male,Married,San Mateo,1,30,1254,38,0.031898,1.1848086124
962,17,43,1324.0,30,222,1,Female,Married,San Mateo,2,76,1259,43,0.034154,1.0516282764
