YEAR,MENU_ITEM_ID,TOTAL_QTY_SOLD_PER_YEAR
2019,10,78792
2019,11,232642
2019,12,233539
2019,13,232888
2019,14,78885
2019,15,78516
2019,16,78613
2019,17,232796
2019,18,232653
2019,19,232649
2019,21,926377
2019,22,925916
2019,23,926912
2019,24,417675
2019,25,416872
2019,26,417137
2019,27,927563
2019,28,925894
2019,29,926069
2019,31,221788
2019,32,222154
2019,33,222710
2019,34,100439
2019,35,100086
2019,36,99926
2019,37,221542
2019,38,221394
2019,39,221746
2019,61,602036
2019,62,603473
2019,63,603684
2019,64,135373
2019,65,135923
2019,66,135975
2019,71,144347
2019,72,145659
2019,73,144159
2019,74,32529
2019,75,32277
2019,76,32316
2019,81,534915
2019,82,536076
2019,83,535142
2019,84,120305
2019,85,120147
2019,86,120325
2019,101,196881
2019,102,196501
2019,103,196629
2019,104,44248
2019,105,44195
2019,106,44195
2019,131,675476
2019,132,676007
2019,133,675797
2019,134,152418
2019,135,152037
2019,136,151871
2019,141,612408
2019,142,610854
2019,143,611103
2019,144,137823
2019,145,137809
2019,146,137435
2020,10,304815
2020,11,902788
2020,12,903806
2020,13,899989
2020,14,304419
2020,15,304596
2020,16,304869
2020,17,902804
2020,18,903379
2020,19,904216
2020,21,1300163
2020,22,1297672
2020,23,1300534
2020,24,584452
2020,25,584414
2020,26,584958
2020,27,1298590
2020,28,1301322
2020,29,1299027
2020,31,1328263
2020,32,1327275
2020,33,1327092
2020,34,597724
2020,35,598098
2020,36,597577
2020,37,1329579
2020,38,1326870
2020,39,1330817
2020,41,2600456
2020,42,2602221
2020,43,2596923
2020,44,586598
2020,45,585868
2020,46,583645
2020,51,3289648
2020,52,3287422
2020,53,3288661
2020,54,740867
2020,55,739622
2020,56,740220
2020,61,2655548
2020,62,2656734
2020,63,2654298
2020,64,598269
2020,65,596843
2020,66,597729
2020,71,2190805
2020,72,2190492
2020,73,2189299
2020,74,492726
2020,75,492193
2020,76,492422
2020,81,2177523
2020,82,2177992
2020,83,2175421
2020,84,490096
2020,85,489348
2020,86,491054
2020,91,2150817
2020,92,2149444
2020,93,2149947
2020,94,484282
2020,95,482992
2020,96,483821
2020,101,1794096
2020,102,1795924
2020,103,1793609
2020,104,402861
2020,105,403614
2020,106,403892
2020,111,2067234
2020,112,2065882
2020,113,2071988
2020,114,465482
2020,115,465946
2020,116,466255
2020,121,3807301
2020,122,3801991
2020,123,3805702
2020,124,856268
2020,125,855833
2020,126,857901
2020,131,2671671
2020,132,2673947
2020,133,2675618
2020,134,601732
2020,135,600774
2020,136,602995
2020,141,3065642
2020,142,3063844
2020,143,3067735
2020,144,689178
2020,145,688804
2020,146,690673
2020,151,1877809
2020,152,1879616
2020,153,1877504
2020,154,421730
2020,155,422544
2020,156,422193
2021,10,862402
2021,11,2557625
2021,12,2555716
2021,13,2555303
2021,14,862409
2021,15,861761
2021,16,862734
2021,17,2554699
2021,18,2556023
2021,19,2554815
2021,21,3318196
2021,22,3320249
2021,23,3318037
2021,24,1492495
2021,25,1493246
2021,26,1492710
2021,27,3320974
2021,28,3320303
2021,29,3322079
2021,31,2625971
2021,32,2625731
2021,33,2622202
2021,34,1180128
2021,35,1180391
2021,36,1181133
2021,37,2623964
2021,38,2621647
2021,39,2620807
2021,41,5941972
2021,42,5938444
2021,43,5941503
2021,44,1338217
2021,45,1336583
2021,46,1334876
2021,51,6006198
2021,52,6006156
2021,53,6003600
2021,54,1349548
2021,55,1349497
2021,56,1352150
2021,61,5386304
2021,62,5381530
2021,63,5386041
2021,64,1210613
2021,65,1211724
2021,66,1211971
2021,71,4575681
2021,72,4576212
2021,73,4577356
2021,74,1029647
2021,75,1027645
2021,76,1029029
2021,81,7931468
2021,82,7934949
2021,83,7929667
2021,84,1785779
2021,85,1784047
2021,86,1786727
2021,91,7168701
2021,92,7166721
2021,93,7172971
2021,94,1612022
2021,95,1614180
2021,96,1611131
2021,101,6075409
2021,102,6069893
2021,103,6075694
2021,104,1367692
2021,105,1367881
2021,106,1365309
2021,111,6231166
2021,112,6234073
2021,113,6228982
2021,114,1400347
2021,115,1401466
2021,116,1400198
2021,121,8159110
2021,122,8157984
2021,123,8154928
2021,124,1835784
2021,125,1835564
2021,126,1835028
2021,131,6172541
2021,132,6178321
2021,133,6178532
2021,134,1387952
2021,135,1387865
2021,136,1388017
2021,141,7545338
2021,142,7547727
2021,143,7546927
2021,144,1698576
2021,145,1697406
2021,146,1697394
2021,151,6495063
2021,152,6501427
2021,153,6493568
2021,154,1462023
2021,155,1461215
2021,156,1463656
2022,10,1568416
2022,11,4650887
2022,12,4651142
2022,13,4649065
2022,14,1569667
2022,15,1569881
2022,16,1571491
2022,17,4649955
2022,18,4647811
2022,19,4653479
2022,21,4923134
2022,22,4923068
2022,23,4925544
2022,24,2213730
2022,25,2213695
2022,26,2216905
2022,27,4923968
2022,28,4924543
2022,29,4921082
2022,31,4758425
2022,32,4761108
2022,33,4759413
2022,34,2142382
2022,35,2142545
2022,36,2141958
2022,37,4761194
2022,38,4762205
