CUSTOMER_ID,RECENCY,FREQUENCY,MONETARY,AVG_DAYS_BETWEEN_PURCHASE,MAX_DAYS_WITHOUT_PURCHASE,MIN_DAYS_WITHOUT_PURCHASE,GENDER,MARITAL_STATUS,CITY,CHILDREN_COUNT,AGE,LENGTH_OF_RELATIONSHIP,NUM_OF_LOCATIONS_VISITED,RELATIVE_PURCHASE_FREQUENCY,RELATIVE_PURCHASE_MONETARY
22,14,43,1404.5,30,173,1,Male,Married,San Mateo,4,73,1253,40,0.034318,1.1209098164
42,8,39,1811.5,33,167,1,Undisclosed,Single,San Mateo,0,56,1270,36,0.030709,1.4263779528
59,26,38,1256.5,33,390,1,Male,Married,San Mateo,2,61,1260,35,0.030159,0.9972222222
65,29,42,1393.25,30,207,2,Male,Divorced/Seperated,San Mateo,5+,64,1222,40,0.03437,1.1401391162
106,18,48,2096.75,24,158,1,Female,Single,San Mateo,0,55,1133,47,0.042365,1.8506178288
118,12,39,1401.25,30,158,1,Male,Single,San Mateo,0,34,1139,35,0.034241,1.2302458297
166,71,43,1581.5,19,119,1,Male,Single,San Mateo,0,78,874,41,0.049199,1.8094965675
176,81,33,1094.5,29,139,1,Male,Married,San Mateo,1,67,997,33,0.033099,1.0977933801
189,7,49,1893.0,27,164,1,Undisclosed,Married,San Mateo,1,38,1279,48,0.038311,1.4800625489
204,8,36,1191.0,28,172,3,Male,Undisclosed,San Mateo,Undisclosed,43,986,35,0.036511,1.2079107505
212,10,41,1807.0,33,309,1,Female,Married,San Mateo,1,31,1343,38,0.030529,1.3454951601
217,4,38,1506.5,38,322,1,Female,Married,San Mateo,4,23,1391,34,0.027318,1.0830337886
219,30,39,1315.5,26,158,1,Undisclosed,Married,San Mateo,2,57,1028,37,0.037938,1.2796692607
222,32,44,1822.5,31,346,1,Female,Single,San Mateo,0,57,1348,40,0.032641,1.3520029674
224,41,36,1282.5,29,125,1,Male,Married,San Mateo,1,32,1058,31,0.034026,1.2121928166
226,37,29,1302.0,44,266,1,Undisclosed,Single,San Mateo,0,23,1269,28,0.022853,1.0260047281
233,18,41,1698.75,26,278,1,Undisclosed,Married,San Mateo,4,19,1024,38,0.040039,1.6589355469
261,44,33,1364.0,41,434,1,Male,Divorced/Seperated,San Mateo,1,25,1330,32,0.024812,1.0255639098
262,13,44,2035.25,26,214,1,Female,Married,San Mateo,2,27,1136,41,0.038732,1.7915933099
308,36,35,1191.5,33,387,1,Female,Single,San Mateo,0,23,1113,34,0.031447,1.0705300988
332,43,38,1436.5,35,209,1,Undisclosed,Single,San Mateo,0,76,1321,36,0.028766,1.0874337623
343,4,40,1741.25,33,167,1,Female,Married,San Mateo,2,65,1277,38,0.031323,1.3635473767
350,40,39,1017.0,33,364,1,Female,Married,San Mateo,2,30,1263,36,0.030879,0.8052256532
354,7,40,1496.5,29,216,1,Female,Undisclosed,San Mateo,Undisclosed,71,1145,35,0.034934,1.3069868996
360,11,35,1348.5,32,238,2,Male,Divorced/Seperated,San Mateo,3,59,1100,33,0.031818,1.2259090909
405,40,37,1291.0,33,226,1,Undisclosed,Single,San Mateo,0,34,1204,35,0.030731,1.0722591362
416,35,36,1321.75,36,159,1,Male,Single,San Mateo,0,23,1264,34,0.028481,1.0456882911
419,23,35,1312.5,32,339,1,Female,Married,San Mateo,2,30,1125,34,0.031111,1.1666666667
454,46,39,1596.5,28,217,1,Male,Married,San Mateo,4,56,1100,39,0.035455,1.4513636364
466,11,31,1419.0,42,488,1,Undisclosed,Married,San Mateo,2,16,1266,30,0.024487,1.1208530806
479,39,47,1624.75,28,379,1,Male,Married,San Mateo,4,31,1331,45,0.035312,1.2206987228
485,11,42,1499.0,27,195,1,Female,Married,San Mateo,4,76,1112,41,0.03777,1.3480215827
499,8,32,1286.5,33,210,1,Female,Undisclosed,San Mateo,Undisclosed,82,1013,30,0.031589,1.2699901283
502,50,37,1279.0,33,198,2,Male,Married,San Mateo,0,62,1250,37,0.0296,1.0232
514,53,45,1662.25,28,193,1,Male,Married,San Mateo,2,20,1288,39,0.034938,1.2905667702
528,16,51,1659.0,23,99,1,Female,Single,San Mateo,0,54,1172,47,0.043515,1.4155290102
540,97,35,1536.0,35,266,1,Male,Undisclosed,San Mateo,Undisclosed,54,1214,35,0.02883,1.2652388797
590,26,34,1470.0,34,231,1,Female,Married,San Mateo,2,68,1141,33,0.029798,1.2883435583
632,32,45,1706.5,29,115,1,Male,Undisclosed,San Mateo,Undisclosed,54,1284,45,0.035047,1.3290498442
649,5,31,1433.75,37,195,3,Male,Married,San Mateo,1,43,1118,28,0.027728,1.2824239714
700,19,34,1339.25,35,158,1,Female,Married,San Mateo,4,17,1154,33,0.029463,1.1605285962
712,42,34,1363.5,40,411,3,Undisclosed,Single,San Mateo,0,24,1343,33,0.025316,1.0152643336
756,16,37,1653.0,36,268,1,Male,Undisclosed,San Mateo,Undisclosed,41,1321,36,0.028009,1.251324754
777,25,42,1489.25,31,288,1,Male,Married,San Mateo,1,62,1266,38,0.033175,1.176342812
794,23,45,2115.25,27,204,1,Female,Single,San Mateo,0,78,1194,42,0.037688,1.7715661642
816,71,33,1211.0,30,106,1,Male,Married,San Mateo,0,58,1020,31,0.032353,1.187254902
821,56,48,1926.25,26,113,1,Female,Married,San Mateo,2,63,1235,44,0.038866,1.5597165992
