TRUCK_ID,PRIMARY_CITY,YEAR,TOTAL_SALES_PER_YEAR
1,San Mateo,2022,343388.5
2,San Mateo,2022,778712.0
3,San Mateo,2022,702955.0
4,San Mateo,2022,696243.0
5,San Mateo,2022,767566.25
6,San Mateo,2022,373085.0
7,San Mateo,2022,585846.0
8,San Mateo,2022,525795.0
9,San Mateo,2022,685650.0
10,San Mateo,2022,567727.0
11,San Mateo,2022,797841.0
12,San Mateo,2022,887567.0
13,San Mateo,2022,627123.0
14,San Mateo,2022,1017037.0
15,San Mateo,2022,691931.0
16,Denver,2022,1707153.5
17,Denver,2022,5447343.0
18,Denver,2022,4814766.0
19,Denver,2022,4763750.0
20,Denver,2022,7299141.75
21,Denver,2022,2571172.0
22,Denver,2022,4070573.0
23,Denver,2022,5200613.0
24,Denver,2022,4737587.0
25,Denver,2022,3932153.0
26,Denver,2022,5422419.0
27,Denver,2022,6136816.0
28,Denver,2022,4374470.0
29,Denver,2022,7072957.0
30,Denver,2022,4736361.0
31,Seattle,2022,2398429.5
32,Seattle,2022,5429963.0
33,Seattle,2022,4920158.5
34,Seattle,2022,4799388.0
35,Seattle,2022,7336622.25
36,Seattle,2022,2591144.0
37,Seattle,2022,4115735.0
38,Seattle,2022,2256385.0
39,Seattle,2022,4781567.0
40,Seattle,2022,3964397.0
41,Seattle,2022,5524616.0
42,Seattle,2022,6183303.0
43,Seattle,2022,4414435.0
44,Seattle,2022,7155018.0
45,Seattle,2022,4787500.0
46,Boston,2022,2190269.0
47,Boston,2022,4977504.0
48,Boston,2022,4478846.5
49,Boston,2022,4412929.0
50,Boston,2022,6778331.75
51,Boston,2022,2386633.0
52,Boston,2022,3770710.0
53,Boston,2022,4740188.0
54,Boston,2022,3176621.0
55,Boston,2022,3602891.0
56,Boston,2022,3621908.0
57,Boston,2022,5629528.0
58,Boston,2022,4035870.0
59,Boston,2022,4763806.0
60,Boston,2022,4402782.0
61,New York City,2022,8787704.5
62,New York City,2022,20125521.0
63,New York City,2022,12740123.5
64,New York City,2022,17490036.0
65,New York City,2022,27002775.0
66,New York City,2022,6753610.0
67,New York City,2022,14989167.0
68,New York City,2022,19069084.0
69,New York City,2022,17516246.0
70,New York City,2022,14512685.0
71,New York City,2022,20063083.0
72,New York City,2022,16106866.0
73,New York City,2022,16076214.0
74,New York City,2022,26093175.0
75,New York City,2022,17558903.0
